species,authors,dates,pages,dois,access dates,status,order,family,common_name
Lophotis ruficrista,BirdLife International,2024,e.T22691965A263660641,10.2305/IUCN.UK.2024-2.RLTS.T22691965A263660641.en,7 February 2025,LC,Otidiformes,Otididae,Red-crested Bustard
Lophotis savilei,BirdLife International,2024,e.T22691955A263661312,10.2305/IUCN.UK.2024-2.RLTS.T22691955A263661312.en,7 February 2025,LC,Otidiformes,Otididae,Savile's Bustard
Lophotriccus eulophotes,BirdLife International,2024,e.T22699564A264393035,10.2305/IUCN.UK.2024-2.RLTS.T22699564A264393035.en,7 February 2025,LC,Passeriformes,Tyrannidae,Long-crested Pygmy-tyrant
Lophotriccus galeatus,BirdLife International,2018,e.T22699569A130204041,10.2305/IUCN.UK.2018-2.RLTS.T22699569A130204041.en,7 February 2025,LC,Passeriformes,Tyrannidae,Helmeted Pygmy-tyrant
Lophotriccus pileatus,BirdLife International,2021,e.T22699554A138070223,10.2305/IUCN.UK.2021-3.RLTS.T22699554A138070223.en,7 February 2025,LC,Passeriformes,Tyrannidae,Scale-crested Pygmy-tyrant
Lophotriccus vitiosus,BirdLife International,2024,e.T22699559A264393844,10.2305/IUCN.UK.2024-2.RLTS.T22699559A264393844.en,7 February 2025,LC,Passeriformes,Tyrannidae,Double-banded Pygmy-tyrant
Lophotriorchis kienerii,BirdLife International,2020,e.T22696111A176625288,10.2305/IUCN.UK.2020-3.RLTS.T22696111A176625288.en,7 February 2025,NT,Accipitriformes,Accipitridae,Rufous-bellied Eagle
Lophura bulweri,BirdLife International,2022,e.T22679278A216484849,10.2305/IUCN.UK.2022-2.RLTS.T22679278A216484849.en,7 February 2025,VU,Galliformes,Phasianidae,Bulwer's Pheasant
Lophura diardi,BirdLife International,2016,e.T22679274A92808547,10.2305/IUCN.UK.2016-3.RLTS.T22679274A92808547.en,7 February 2025,LC,Galliformes,Phasianidae,Siamese Fireback
Lophura edwardsi,BirdLife International,2024,e.T45354985A249120158,10.2305/IUCN.UK.2024-2.RLTS.T45354985A249120158.en,7 February 2025,CR,Galliformes,Phasianidae,Vietnam Pheasant
Lophura erythrophthalma,BirdLife International,2022,e.T22727411A207611465,10.2305/IUCN.UK.2022-1.RLTS.T22727411A207611465.en,7 February 2025,CR,Galliformes,Phasianidae,Malay Crestless Fireback
Lophura ignita,BirdLife International,2020,e.T22727431A184560985,10.2305/IUCN.UK.2020-3.RLTS.T22727431A184560985.en,7 February 2025,VU,Galliformes,Phasianidae,Bornean Crested Fireback
Lophura inornata,BirdLife International,2023,e.T45355372A225163175,10.2305/IUCN.UK.2023-1.RLTS.T45355372A225163175.en,7 February 2025,NT,Galliformes,Phasianidae,Salvadori's Pheasant
Lophura leucomelanos,BirdLife International,2024,e.T22679217A264141273,10.2305/IUCN.UK.2024-2.RLTS.T22679217A264141273.en,7 February 2025,LC,Galliformes,Phasianidae,Kalij Pheasant
Lophura nycthemera,BirdLife International,2016,e.T22679220A92808107,10.2305/IUCN.UK.2016-3.RLTS.T22679220A92808107.en,7 February 2025,LC,Galliformes,Phasianidae,Silver Pheasant
Lophura pyronota,BirdLife International,2022,e.T22727425A212049633,10.2305/IUCN.UK.2022-1.RLTS.T22727425A212049633.en,7 February 2025,EN,Galliformes,Phasianidae,Bornean Crestless Fireback
Lophura rufa,BirdLife International,2020,e.T22727445A184588512,10.2305/IUCN.UK.2020-3.RLTS.T22727445A184588512.en,7 February 2025,VU,Galliformes,Phasianidae,Malay Crested Fireback
Lophura swinhoii,BirdLife International,2019,e.T22679241A136677351,10.2305/IUCN.UK.2019-3.RLTS.T22679241A136677351.en,7 February 2025,NT,Galliformes,Phasianidae,Swinhoe's Pheasant
Loriculus amabilis,BirdLife International,2024,e.T22732102A263965058,10.2305/IUCN.UK.2024-2.RLTS.T22732102A263965058.en,7 February 2025,LC,Psittaciformes,Psittacidae,Moluccan Hanging-parrot
Loriculus aurantiifrons,BirdLife International,2024,e.T22685405A264119860,10.2305/IUCN.UK.2024-2.RLTS.T22685405A264119860.en,7 February 2025,LC,Psittaciformes,Psittacidae,Orange-fronted Hanging-parrot
Loriculus beryllinus,BirdLife International,2024,e.T22685371A263716504,10.2305/IUCN.UK.2024-2.RLTS.T22685371A263716504.en,7 February 2025,LC,Psittaciformes,Psittacidae,Sri Lanka Hanging-parrot
Loriculus catamene,BirdLife International,2016,e.T22685399A93071371,10.2305/IUCN.UK.2016-3.RLTS.T22685399A93071371.en,7 February 2025,NT,Psittaciformes,Psittacidae,Sangihe Hanging-parrot
Loriculus exilis,BirdLife International,2021,e.T22685416A185741229,10.2305/IUCN.UK.2021-3.RLTS.T22685416A185741229.en,7 February 2025,LC,Psittaciformes,Psittacidae,Pygmy Hanging-parrot
Loriculus flosculus,BirdLife International,2019,e.T22685428A156225653,10.2305/IUCN.UK.2019-3.RLTS.T22685428A156225653.en,7 February 2025,VU,Psittaciformes,Psittacidae,Flores Hanging-parrot
Loriculus galgulus,BirdLife International,2016,e.T22685384A93070938,10.2305/IUCN.UK.2016-3.RLTS.T22685384A93070938.en,7 February 2025,LC,Psittaciformes,Psittacidae,Blue-crowned Hanging-parrot
Loriculus philippensis,BirdLife International,2024,e.T22685376A263717670,10.2305/IUCN.UK.2024-2.RLTS.T22685376A263717670.en,7 February 2025,LC,Psittaciformes,Psittacidae,Philippine Hanging-parrot
Loriculus pusillus,BirdLife International,2023,e.T22685422A207890462,10.2305/IUCN.UK.2023-1.RLTS.T22685422A207890462.en,7 February 2025,NT,Psittaciformes,Psittacidae,Yellow-throated Hanging-parrot
